Description,Menu ID,Type,Alias,Program,AON Equiv.,Who,Comp,CodePort,DocOut,Comments
Fiscal Calendar,GLS_CALENDAR,T,GLS_CALENDAR,,GLP.AA,JL,Y,,
Suspense Account,GLS_SUSPENSE,T,GLS_SUSPENSE,,GLP.AA,JL,Y,,
Retained Earnings,GLS_EARNINGS,T,GLS_EARNINGS,,GLP.AA,JL,P,,
Chart of Account Breaks,GLM_ACCTBREAKS,T,GLM_ACCTBREAKS,,GLP.AA,JL/CLT,Y,Y,
Default Display Columns,GLS_COLUMNS,T,GLS_COLUMNS,,GLP.AA,JL,Y,,
Utilities,GLMENU_UTILITIES,G,,,,,,,
Copy Chart of Accounts,GLX_COPYCHART,T,GLX_COPYCHART,,v7,,,,
Inventory Control,IVMENU,M,,,,,,,
Inventory Transaction Entry,IVE_TRANSHDR,T,IVE_TRANSHDR,,IVE.AA,,,,
Inventory Transaction Register,IVR_AA,T,,ivr_aa.aon,IVR.AA,BJ-BP,P,Y,Y
Inventory Transfers Entry,IVE_TRANSFER,T,IVE_TRANSFER,,IVE.CA,,,,
Inventory Transfer Register,IVR_GA,T,,ivr_ga.aon,IVR.GA,BJ-BP,P,Y,Y
Cost Changes,IVMENU_COSTS,G,,,,,,,
Cost Change Entry,IVE_GA,T,,ive_ga.aon,IVE.GA,,,,
Cost Change By Percentage Entry,IVE_JA,T,,ive_ja.aon,IVE.JA,,,,
Cost Change Valuation Report,IVR_WA,T,,ivr_wa.aon,IVR.WA,BJ-BP,P,Y,Y
Cost Change Register,IVR_JA,T,,ivr_ja.aon,IVR.JA,BJ-BP,P,Y,Y
Price Changes,IVMENU_PRICES,G,,,,,,,
Price Change Entry,IVE_EA,T,,ive_ea.aon,IVE.EA,,,,
Price Change By Percentage Entry,IVE_HA,T,,ive_ha.aon,IVE.HA,,,,
Price Change Register,IVR_LA,T,,ivr_la.aon,IVR.LA,BJ-BP,P,Y,Y
Price Change Reversal Register,IVR_4A,T,,ivr_4a.aon,IVR.4A,BJ-BP,P,Y,Y
Physical Inventory,IVMENU_PHYSINV,G,,,,,,,,
Physical Inventory Selection,IVE_PA,T,,ive_pa.aon,IVE.PA,,,,,
Cancel Physical Inventory,IVE_QA,T,,ive_qa.aon,IVE.QA,,,,,
Print Count Sheets,IVR_UA,T,,ivr_ua.aon,IVR.UA,BJ-BP,P,Y,Y,
Count Sheet Entry,IVE_RA,T,,ive_ra.aon,IVE.RA,,,,,
Physical Inventory Register,IVR_VA,T,,ivr_va.aon,IVR.VA,BJ-BP,P,Y,Y,
Reports,IVMENU_REPORTS,G,,,,,,,,
Price Listing,IVR_FA,T,,ivr_fa.aon,IVR.FA,BJ-BP,P(A/B),Y,Y,IVR.FB; fa and fb converted to ivr_pricelist and ivr_pricelist_o1. Select Form built. CH.
Vendor Listing,IVR_IA,T,,ivr_ia.aon,IVR.IA,BJ-BP,P(A/B),Y,Y,"IVR.IB; ia/ib converted to ivr_vendlist and ivr_vendlist_o1. Also converted two publics, ivc_au/wa, now ivc_usage and ivc_whseinfo. Select Form built.CH."
Requirements Report,IVR_MA,T,,ivr_ma.aon,IVR.MA,BJ-BP,P(A/B),Y,Y,IVR.MB
Analysis Report,IVR_HA,T,,ivr_ha.aon,IVR.HA,BJ-BP,P(A/B),Y,Y,IVR.HB
Stock Status Report,IVR_BA,T,,ivr_ba.aon,IVR.BA,BJ-BP,P(A/B),Y,Y,IVR.BB
Activity Report,IVR_ITEMACT,T,IVR_ITEMACT,,IVR.EA,,,,,
